transcript_ID,count_Tx,transcript_type,transcript_ID,transcript_name,gene_ID,gene_ID,count_gene,gene_type,Brain,Caudate_Nucleus,Cerebellum,Cerebral_Cortex,Corpus_Callosum,Fetal_Brain,Fetal_Spinal_Cord,Frontal_Lobe,Hippocampus,Medulla_Oblongata,Pons,Spinal_Cord,Temporal_Lobe,Thalamus,bladder,blood,colon,heart,kidney,liver,lung,ovary,pancreas,prostate,skeletal_muscle,small_intestine,spleen,stomach,testis,thyroid,AVG_Tx,AVG_gene,Tx%,Rank,Ref_Tx,V8_Tx_match
ENST00000650454,1,protein_coding,ENST00000650454.1_4,GCLC-214,ENSG00000001084.13_10,ENSG00000001084,8,protein_coding,125.2,171.5,44.5,133.52,188.92,53.46,123.87,145.14,138.59,112.7,96.5,117.12,116.03,186.79,90.3,19.59,53.1,33.2,75.58,100.18,53.44,50.13,23.41,160.68,36.71,52.1,65.32,35.47,53.72,85.29,91.402,121.869,0.750002051,1,1,
ENST00000649406,1,protein_coding,ENST00000649406.1_1,CFTR-217,ENSG00000001626.16_9,ENSG00000001626,8,protein_coding,0,0,0,0.5,0,0,2.42,0,0,0,0,0,0,0,0,0,71.35,0,2.97,1.14,17.7,0,61.63,0,0,5.66,1,0,0,0,5.479,65.27433333,0.083938046,2,,
ENST00000647978,1,nonsense_mediated_decay,ENST00000647978.1_1,CFTR-215,ENSG00000001626.16_9,ENSG00000001626,8,protein_coding,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,1.49,0,0,0,0,0,0,0,0.085333333,65.27433333,0.001307303,4,,
ENST00000647720,1,nonsense_mediated_decay,ENST00000647720.1_1,CFTR-214,ENSG00000001626.16_9,ENSG00000001626,8,protein_coding,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.067,65.27433333,0.001026437,5,,
ENST00000647639,1,processed_transcript,ENST00000647639.1_1,CFTR-213,ENSG00000001626.16_9,ENSG00000001626,8,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.066666667,65.27433333,0.00102133,6,,
ENST00000649850,1,retained_intron,ENST00000649850.1_1,CFTR-219,ENSG00000001626.16_9,ENSG00000001626,8,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.066666667,65.27433333,0.00102133,6,,
ENST00000436097,1,processed_transcript,ENST00000436097.1_2,CFTR-204,ENSG00000001626.16_9,ENSG00000001626,8,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.033333333,65.27433333,0.000510665,8,,
ENST00000645950,1,retained_intron,ENST00000645950.1_1,CD99-213,ENSG00000002586.20_7,ENSG00000002586,8,protein_coding,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.102,11.93333333,0.008547486,4,,
ENST00000646103,1,retained_intron,ENST00000646103.1_1,CD99-214,ENSG00000002586.20_7,ENSG00000002586,8,protein_coding,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.1,11.93333333,0.008379888,5,,
ENST00000647297,1,retained_intron,ENST00000647297.1_1,CD99-215,ENSG00000002586.20_7,ENSG00000002586,8,protein_coding,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,11.93333333,0.008379888,5,,
ENST00000672715,1,protein_coding,ENST00000672715.1_2,AK2-217,ENSG00000004455.17_5,ENSG00000004455,16,protein_coding,170.08,209.35,162.58,177.27,492.52,166.55,639.49,199.27,154.16,312.03,221.96,414.51,146.2,291.48,649.17,102.17,660.74,665.23,1427.53,569.7,438.26,461.81,393.42,1001.16,946.31,878.09,450.26,437.11,798.96,795.66,481.101,790.915,0.608284076,1,1,
