ONT_only_chromosome,ONT_only_start,ONT_only_end,ONT_only_strand,ONT_only_gene_id,ONT_only_transcript_id,ONT_only_gene_name,ONT_only_transcript_type,ONT_only_v43_tx_len,ONT_only_v43_exon_count,ONT_only_v43_cds_len,ONT_only_FPKM,ONT_only_testis_1,ONT_only_testis_2,ONT_only_brain,ONT_only_Tx_FPKM,ONT_only_Gene_FPKM,ONT_only_Tx%,ONT_only_Tx_count,ONT_only_Rank,ONT_only_Ref_Tx,ONT_only_MANE_tx,ONT_only_MANE_match,ONT_only_V8_gene_id,ONT_only_V8_transcript_id,ONT_only_V8_gene_id_by_V8Tx
20,50953615,50958532,-,ENSG00000000419,ENST00000684628,DPM1,retained_intron,1841,4,,,0.329444,1.086758,0.336496,0.584232667,18.19877133,3.210286321,16,3,0,ENST00000371588,0,ENSG00000000419,,
20,50934867,50958532,-,ENSG00000000419,ENST00000683048,DPM1,nonsense_mediated_decay,959,4,390,,0.892378,0,0,0.297459333,18.19877133,1.634502285,16,4,0,ENST00000371588,0,ENSG00000000419,,
1,196652034,196747542,+,ENSG00000000971,ENST00000696029,CFH,protein_coding,4003,4,3690,,0,0,0.182203,0.060734333,5.298986,1.1461501,39,4,0,ENST00000367429,0,ENSG00000000971,,
1,196652034,196697320,+,ENSG00000000971,ENST00000696018,CFH,protein_coding_CDS_not_defined,2691,4,,,0,0.170184,0,0.056728,5.298986,1.07054444,39,5,0,ENST00000367429,0,ENSG00000000971,,
1,196652034,196700299,+,ENSG00000000971,ENST00000696019,CFH,protein_coding_CDS_not_defined,1684,4,,,0,0.158044,0,0.052681333,5.298986,0.994177628,39,6,0,ENST00000367429,0,ENSG00000000971,,
6,53497341,53545101,-,ENSG00000001084,ENST00000650454,GCLC,protein_coding,3785,2,1914,,5.538586,5.459543,5.393926,5.464018333,7.511337667,72.74361207,14,1,1,ENST00000650454,1,ENSG00000001084,,
X,65512581,65534754,-,ENSG00000001497,ENST00000677834,LAS1L,retained_intron,2386,4,,,2.529604,0,1.430853,1.320152333,10.46519667,12.61469206,25,3,0,ENST00000374811,0,ENSG00000001497,,
7,117480011,117482388,+,ENSG00000001626,ENST00000693480,CFTR,protein_coding_CDS_not_defined,1383,4,,,0,0.20125,0,0.067083333,0.095012,70.60511655,38,1,0,ENST00000003084,0,ENSG00000001626,,
7,117480011,117481314,+,ENSG00000001626,ENST00000699603,CFTR,protein_coding_CDS_not_defined,563,4,,,0,0.083786,0,0.027928667,0.095012,29.39488345,38,2,0,ENST00000003084,0,ENSG00000001626,,
7,92085205,92134503,-,ENSG00000001630,ENST00000691309,CYP51A1,protein_coding,2106,4,1377,,2.218356,0,0,0.739452,62.38474867,1.185308935,5,3,0,ENST00000003100,0,ENSG00000001630,,
X,2691310,2715597,+,ENSG00000002586,ENST00000646103,CD99,retained_intron,2556,2,,,0.465993,0.15337,0,0.206454333,86.385046,0.238993139,15,4,0,ENST00000381192,0,ENSG00000002586,,
X,2691276,2718018,+,ENSG00000002586,ENST00000647297,CD99,retained_intron,1166,2,,,0,0.242959,0,0.080986333,86.385046,0.093750408,15,5,0,ENST00000381192,0,ENSG00000002586,,
X,2691276,2723434,+,ENSG00000002586,ENST00000645950,CD99,retained_intron,994,2,,,0,0.233581,0,0.077860333,86.385046,0.090131726,15,6,0,ENST00000381192,0,ENSG00000002586,,
2,201700567,201713072,-,ENSG00000003393,ENST00000681692,ALS2,retained_intron,4218,4,,,0,0,10.238453,3.412817667,8.490880333,40.19392021,75,1,0,ENST00000264276,0,ENSG00000003393,,
2,201700566,201769812,-,ENSG00000003393,ENST00000680163,ALS2,protein_coding,6643,4,4974,,0,0,9.274444,3.091481333,8.490880333,36.40943238,75,2,1,ENST00000264276,0,ENSG00000003393,,
2,201700553,201720470,-,ENSG00000003393,ENST00000680441,ALS2,retained_intron,4823,4,,,0,0,3.850229,1.283409667,8.490880333,15.11515433,75,3,0,ENST00000264276,0,ENSG00000003393,,
2,201759531,201769150,-,ENSG00000003393,ENST00000679503,ALS2,protein_coding,2728,4,1191,,0,0,0.348641,0.116213667,8.490880333,1.368688076,75,5,0,ENST00000264276,0,ENSG00000003393,,
2,201741184,201780956,-,ENSG00000003393,ENST00000680287,ALS2,protein_coding,2981,4,2439,,0.127591,0,0,0.042530333,8.490880333,0.500894273,75,7,0,ENST00000264276,0,ENSG00000003393,,
1,23019443,23076570,+,ENSG00000004487,ENST00000688680,KDM1A,protein_coding,3984,4,1761,,0,4.027092,0,1.342364,37.00620233,3.627402747,37,2,0,ENST00000400181,0,ENSG00000004487,,
X,11759402,11775753,+,ENSG00000005302,ENST00000649078,MSL3,protein_coding,2507,7,1068,,0,0,2.085829,0.695276333,2.382431667,29.18347431,51,2,0,ENST00000312196,0,ENSG00000005302,,
17,58269870,58279178,-,ENSG00000005381,ENST00000699291,MPO,nonsense_mediated_decay,2149,4,576,,0,0,0.182372,0.060790667,0.060790667,100,7,1,0,ENST00000225275,0,ENSG00000005381,,
7,104940943,104963216,+,ENSG00000005483,ENST00000653259,KMT2E,retained_intron,2036,3,,,0.160932,0,0,0.053644,8.6128,0.622840424,23,3,0,ENST00000311117,0,ENSG00000005483,,
13,77067114,77070721,-,ENSG00000005810,ENST00000695087,MYCBP2,retained_intron,1109,4,,,0,0,0.281681,0.093893667,0.093893667,100,29,1,0,ENST00000544440,0,ENSG00000005810,,
19,18593237,18606799,-,ENSG00000006016,ENST00000684169,CRLF1,protein_coding,1746,4,1281,,0,0,0.421814,0.140604667,0.140604667,100,6,1,1,ENST00000392386,0,ENSG00000006016,,
17,45263119,45284949,-,ENSG00000006062,ENST00000680632,MAP3K14,nonsense_mediated_decay,3406,4,801,,0.393058,0,0,0.131019333,4.831994667,2.711495818,6,3,0,ENST00000344686,0,ENSG00000006062,,
11,17448101,17476845,-,ENSG00000006071,ENST00000682863,ABCC8,retained_intron,1813,4,,,0,0,1.974977,0.658325667,1.004198667,65.55731336,100,1,0,ENST00000389817,0,ENSG00000006071,,
7,141551407,141655244,+,ENSG00000006530,ENST00000649286,AGK,protein_coding,3628,7,1269,,4.057928,5.316792,15.276912,8.217210667,8.217210667,100,25,1,1,ENST00000649286,1,ENSG00000006530,,
17,14069473,14217916,+,ENSG00000006695,ENST00000670279,COX10,nonsense_mediated_decay,3180,6,948,,0,0.995519,0,0.331839667,20.96225033,1.583034557,7,3,0,ENST00000261643,0,ENSG00000006695,,
17,2593968,2671552,+,ENSG00000007168,ENST00000675430,PAFAH1B1,protein_coding_CDS_not_defined,957,4,,,0,0,0.150174,0.050058,67.037112,0.074672071,30,3,0,ENST00000397195,0,ENSG00000007168,,
1,6634168,6646956,-,ENSG00000007923,ENST00000685360,DNAJC11,retained_intron,4233,4,,,0.378002,0,0.373281,0.250427667,16.21989033,1.54395413,25,3,0,ENST00000377577,0,ENSG00000007923,,
1,6634168,6639530,-,ENSG00000007923,ENST00000689169,DNAJC11,retained_intron,3872,4,,,0.416643,0,0.333264,0.249969,16.21989033,1.541126326,25,4,0,ENST00000377577,0,ENSG00000007923,,
1,6652664,6701819,-,ENSG00000007923,ENST00000688162,DNAJC11,retained_intron,1773,4,,,0,0,0.189298,0.063099333,16.21989033,0.389024414,25,5,0,ENST00000377577,0,ENSG00000007923,,
7,106091696,106112589,-,ENSG00000008282,ENST00000706299,SYPL1,protein_coding,1027,5,858,,0.531223,0,0,0.177074333,95.82138067,0.184796266,10,3,0,ENST00000455385,0,ENSG00000008282,,
7,122076245,122098896,-,ENSG00000008311,ENST00000681511,AASS,nonsense_mediated_decay,1753,4,771,,1.241093,0,0.640108,0.627067,0.627067,100,27,1,0,ENST00000417368,0,ENSG00000008311,,
8,56067295,56074508,-,ENSG00000008988,ENST00000678039,RPS20,nonsense_mediated_decay,4106,4,360,,7.396251,0,0,2.465417,3.595890667,68.56206789,16,1,0,ENST00000009589,0,ENSG00000008988,,
1,114716913,114758003,-,ENSG00000009307,ENST00000686667,CSDE1,protein_coding,3712,4,1998,,7.905657,0,0,2.635219,134.2057083,1.963566999,53,3,0,ENST00000358528,0,ENSG00000009307,,
1,114716913,114758003,-,ENSG00000009307,ENST00000689727,CSDE1,nonsense_mediated_decay,3847,4,1962,,0,1.641816,0,0.547272,134.2057083,0.407785933,53,5,0,ENST00000358528,0,ENSG00000009307,,
12,6200363,6236910,+,ENSG00000010278,ENST00000679331,CD9,protein_coding,1392,4,657,,0,0,0.762872,0.254290667,14.36835067,1.769797192,25,2,0,ENST00000009180,0,ENSG00000010278,,
1,41027202,41242306,-,ENSG00000010803,ENST00000695335,SCMH1,protein_coding,3370,4,2013,,5.28982,0,0,1.763273333,2.885337333,61.11151417,15,1,1,ENST00000695335,1,ENSG00000010803,,
17,58205436,58219255,-,ENSG00000011143,ENST00000678463,MKS1,protein_coding,2260,4,1686,,0.9256,0.545959,0,0.490519667,8.161028333,6.010512973,34,3,0,ENST00000393119,0,ENSG00000011143,,
17,58211757,58219255,-,ENSG00000011143,ENST00000677076,MKS1,retained_intron,2810,4,,,0,0,0.569533,0.189844333,8.161028333,2.326230538,34,4,0,ENST00000393119,0,ENSG00000011143,,
17,58205436,58219255,-,ENSG00000011143,ENST00000675753,MKS1,nonsense_mediated_decay,2403,4,441,,0.299422,0,0.155896,0.151772667,8.161028333,1.859724785,34,5,0,ENST00000393119,0,ENSG00000011143,,
17,58205436,58219255,-,ENSG00000011143,ENST00000676787,MKS1,protein_coding,2214,4,1551,,0,0.337298,0,0.112432667,8.161028333,1.377677691,34,7,0,ENST00000393119,0,ENSG00000011143,,
3,43690938,43722725,+,ENSG00000011198,ENST00000644371,ABHD5,protein_coding,5298,4,1050,,5.168315,7.581153,0,4.249822667,5.086511,83.55083999,16,1,1,ENST00000644371,1,ENSG00000011198,,
3,43691257,43719826,+,ENSG00000011198,ENST00000642351,ABHD5,protein_coding,2550,6,927,,1.306258,0,0,0.435419333,5.086511,8.560275075,16,2,0,ENST00000644371,0,ENSG00000011198,,
19,15380066,15419030,-,ENSG00000011243,ENST00000680649,AKAP8L,protein_coding,2002,4,1839,,0,7.192087,3.595536,3.595874333,37.91340467,9.484440569,39,2,0,ENST00000397410,0,ENSG00000011243,,
19,15380046,15418969,-,ENSG00000011243,ENST00000681170,AKAP8L,nonsense_mediated_decay,1946,4,201,,6.213586,0,0,2.071195333,37.91340467,5.46296317,39,4,0,ENST00000397410,0,ENSG00000011243,,
3,45388561,45549407,+,ENSG00000011376,ENST00000645846,LARS2,protein_coding,4781,2,2712,,0,2.081458,4.09256,2.058006,2.058006,100,12,1,1,ENST00000645846,1,ENSG00000011376,,
11,17086572,17207986,-,ENSG00000011405,ENST00000691414,PIK3C2A,protein_coding,8428,4,5061,,11.179865,9.692116,9.146045,10.00600867,10.00600867,100,6,1,1,ENST00000691414,1,ENSG00000011405,,
19,45692666,45703926,+,ENSG00000011478,ENST00000678862,QPCTL,nonsense_mediated_decay,1957,4,807,,0,0,0.080474,0.026824667,0.635647333,4.220054936,8,2,0,ENST00000012049,0,ENSG00000011478,,
2,65056395,65080525,+,ENSG00000011523,ENST00000704388,CEP68,protein_coding,2519,5,2166,,0.180687,0,0.555699,0.245462,0.356576667,68.83849196,31,1,1,ENST00000377990,0,ENSG00000011523,,
2,65056362,65080703,+,ENSG00000011523,ENST00000703985,CEP68,protein_coding,3612,5,2166,,0.333344,0,0,0.111114667,0.356576667,31.16150804,31,2,0,ENST00000377990,0,ENSG00000011523,,
8,28701500,28753687,+,ENSG00000012232,ENST00000696180,EXTL3,protein_coding,6274,4,2724,,1.238391,0,0,0.412797,2.150839667,19.19236503,25,2,0,ENST00000220562,0,ENSG00000012232,,
8,28701500,28702709,+,ENSG00000012232,ENST00000696183,EXTL3,protein_coding_CDS_not_defined,892,4,,,0.281735,0,0,0.093911667,2.150839667,4.366279278,25,4,0,ENST00000220562,0,ENSG00000012232,,
6,83147324,83193265,-,ENSG00000013375,ENST00000698599,PGM3,nonsense_mediated_decay,5136,4,1653,,0,1.165408,0,0.388469333,0.470832,82.50699471,50,1,0,ENST00000513973,0,ENSG00000013375,,
6,83182280,83193265,-,ENSG00000013375,ENST00000698622,PGM3,retained_intron,1245,4,,,0,0.247088,0,0.082362667,0.470832,17.49300529,50,2,0,ENST00000513973,0,ENSG00000013375,,
11,65285521,65297616,+,ENSG00000014138,ENST00000706541,POLA2,retained_intron,3333,1,,,1.137604,0.847881,0.370785,0.785423333,2.750506,28.55559426,15,2,0,ENST00000265465,0,ENSG00000014138,,
11,65261943,65284522,+,ENSG00000014138,ENST00000706539,POLA2,retained_intron,3357,1,,,1.116324,0,0,0.372108,2.750506,13.52871072,15,3,0,ENST00000265465,0,ENSG00000014138,,
X,48676604,48691431,+,ENSG00000015285,ENST00000698625,WAS,protein_coding,1957,4,1509,,0,0.698992,0,0.232997333,0.590635333,39.44859377,9,2,0,ENST00000376701,0,ENSG00000015285,,
16,89613642,89638433,+,ENSG00000015413,ENST00000690203,DPEP1,protein_coding,1631,4,1236,,0,2.318384,0,0.772794667,16.252187,4.755019535,10,2,0,ENST00000690203,1,ENSG00000015413,,
2,177476688,177539433,+,ENSG00000018510,ENST00000681300,AGPS,protein_coding_CDS_not_defined,2170,4,,,4.270423,0,0,1.423474333,6.451403667,22.06456776,25,2,0,ENST00000264167,0,ENSG00000018510,,
X,119538149,119565409,-,ENSG00000018610,ENST00000644802,STEEP1,protein_coding,2301,2,669,,2.644487,0,2.956936,1.867141,2.840405667,65.73501179,4,1,1,ENST00000644802,1,ENSG00000018610,,
2,210593355,210679107,+,ENSG00000021826,ENST00000674074,CPS1,protein_coding_CDS_not_defined,4770,4,,,0,6.510335,0,2.170111667,3.016122667,71.95037823,15,1,0,ENST00000233072,0,ENSG00000021826,,
10,112430284,112446950,-,ENSG00000023041,ENST00000682182,ZDHHC6,retained_intron,3216,4,,,0,1.860121,0,0.620040333,7.483422333,8.285518386,26,2,0,ENST00000369405,0,ENSG00000023041,,
10,112430284,112439421,-,ENSG00000023041,ENST00000682441,ZDHHC6,retained_intron,2092,4,,,0.35284,0,0.251991,0.201610333,7.483422333,2.694092681,26,3,0,ENST00000369405,0,ENSG00000023041,,
10,112430284,112446941,-,ENSG00000023041,ENST00000684234,ZDHHC6,retained_intron,3925,4,,,0,0,0.196399,0.065466333,7.483422333,0.874818103,26,4,0,ENST00000369405,0,ENSG00000023041,,
9,99979239,100098991,-,ENSG00000023318,ENST00000687093,ERP44,protein_coding,4632,4,1035,,0,0,0.41889,0.13963,9.551351333,1.461887382,15,2,0,ENST00000262455,0,ENSG00000023318,,
1,193090866,193105433,-,ENSG00000023572,ENST00000608166,GLRX2,nonsense_mediated_decay,5612,3,495,,0,0,3.345947,1.115315667,4.594474,24.2751546,4,3,0,ENST00000367439,0,ENSG00000023572,,
10,88990798,89017059,+,ENSG00000026103,ENST00000652046,FAS,protein_coding,3696,5,1008,,0,0,0.656747,0.218915667,2.166604,10.10409224,61,2,0,ENST00000652046,1,ENSG00000026103,,
6,137197484,137219160,-,ENSG00000027697,ENST00000646898,IFNGR1,protein_coding,2519,2,1440,,0,1.378643,0.134935,0.504526,24.919654,2.024610775,19,2,0,ENST00000367739,0,ENSG00000027697,,
6,137197484,137219412,-,ENSG00000027697,ENST00000696695,IFNGR1,protein_coding,1939,4,1308,,0.306844,0.617826,0,0.308223333,24.919654,1.236868431,19,3,0,ENST00000367739,0,ENSG00000027697,,
6,137197484,137219136,-,ENSG00000027697,ENST00000646036,IFNGR1,protein_coding,2183,2,1440,,0.273842,0,0,0.091280667,24.919654,0.366299896,19,4,0,ENST00000367739,0,ENSG00000027697,,
6,137197497,137219122,-,ENSG00000027697,ENST00000645753,IFNGR1,protein_coding,1948,2,1347,,0,0,0.18199,0.060663333,24.919654,0.243435697,19,5,0,ENST00000367739,0,ENSG00000027697,,
5,137937960,138033079,-,ENSG00000031003,ENST00000689681,FAM13B,protein_coding,5579,4,2814,,8.551455,6.815881,0,5.122445333,11.543591,44.37479926,12,1,1,ENST00000689681,1,ENSG00000031003,,
14,65412730,65744121,+,ENSG00000033170,ENST00000673929,FUT8,protein_coding,4249,4,1728,,11.045832,14.022068,12.935179,12.667693,13.05317833,97.04680865,17,1,1,ENST00000673929,1,ENSG00000033170,,
15,28885974,29118315,+,ENSG00000034053,ENST00000683413,APBA2,protein_coding,3941,4,2250,,0,0,23.696518,7.898839333,8.486723667,93.07289413,13,1,1,ENST00000683413,1,ENSG00000034053,,
16,10944539,11182182,+,ENSG00000038532,ENST00000703130,CLEC16A,protein_coding,6827,5,3156,,9.516148,0,0,3.172049333,3.622479333,87.56569856,14,1,1,ENST00000409790,0,ENSG00000038532,,
17,3636459,3661448,+,ENSG00000040531,ENST00000673965,CTNS,protein_coding,2657,4,1104,,2.377361,0,1.124526,1.167295667,3.260199,35.80442993,12,2,0,ENST00000046640,0,ENSG00000040531,,
9,115020560,115086961,-,ENSG00000041982,ENST00000705192,TNC,protein_coding,6141,5,5564,,1.874496,1.471353,0,1.115283,1.521443667,73.30425861,15,1,1,ENST00000350763,0,ENSG00000041982,,
5,134525657,134583227,+,ENSG00000043143,ENST00000681547,JADE2,protein_coding,6757,4,2505,,0,2.425325,10.121905,4.18241,4.408685667,94.86750284,17,1,1,ENST00000681547,1,ENSG00000043143,,
5,134526219,134563282,+,ENSG00000043143,ENST00000681792,JADE2,retained_intron,1835,4,,,0.678827,0,0,0.226275667,4.408685667,5.132497161,17,2,0,ENST00000681547,0,ENSG00000043143,,
